t [s];P [Pa];Q [m^3/s];A [m^2]
0;8448.55675445759;-2.43748716967954E-07;0.000583801632343
0.000312012480499;8445.00284407395;-2.50645196532568E-07;0.000583730124949
0.000624024960998;8441.45494397254;-2.57532189316761E-07;0.000583658712835
0.000936037441498;8437.9130422758;-2.64409816092137E-07;0.000583587395873
0.001248049921997;8434.37712751659;-2.71278204262266E-07;0.000583516173942
0.001560062402496;8430.84718864703;-2.78137491660024E-07;0.000583445046929
0.001872074882995;8427.3232150409;-2.84987830499552E-07;0.000583374014729
0.002184087363495;8423.80601302632;-2.91743205493342E-07;0.000583303093715
0.002496099843994;8420.29873715458;-2.98069672669158E-07;0.000583232347655
0.002808112324493;8416.80852676334;-3.03212305737788E-07;0.00058316192083
0.003120124804992;8413.34753132157;-3.05886583621109E-07;0.000583092058872
0.003432137285491;8409.93280389395;-3.04289370649394E-07;0.000583023106791
0.003744149765991;8406.58490017035;-2.96246840518168E-07;0.000582955480826
0.00405616224649;8403.32539922628;-2.79476634881316E-07;0.000582889618444
0.004368174726989;8400.17385049682;-2.51910979213147E-07;0.000582825916618
0.004680187207488;8397.14478621691;-2.12013115286834E-07;0.000582764671308
0.004992199687988;8394.24540730819;-1.5902261877804E-07;0.000582706030453
0.005304212168487;8391.47438280822;-9.30828776140638E-08;0.000582649969432
0.005616224648986;8388.82195422001;-1.52303259404358E-08;0.000582596292928
0.005928237129485;8386.27127115894;7.2746884646745E-08;0.000582544661744
0.006240249609984;8383.8006611777;1.68549390622089E-07;0.000582494638616
0.006552262090484;8381.38639477105;2.69659873528215E-07;0.000582445744125
0.006864274570983;8379.00546359313;3.73638119781201E-07;0.000582397512964
0.007176287051482;8376.6379407294;4.78372378903792E-07;0.000582349541809
0.007488299531981;8374.26861370902;5.8225448968513E-07;0.000582301522501
0.007800312012481;8371.88774090768;6.8426321730214E-07;0.000582253257502
0.00811232449298;8369.49094514972;7.83957472585574E-07;0.000582204657868
0.008424336973479;8367.07839483377;8.81395374337615E-07;0.000582155726772
0.008736349453978;8364.65351285809;9.77004350188177E-07;0.000582106533421
0.009048361934477;8362.22148900174;1.07143083173853E-06;0.000582057182945
0.009360374414977;8359.78785544854;1.16539599401389E-06;0.000582007787532
0.009672386895476;8357.35732957189;1.25957775981803E-06;0.000581958442933
0.009984399375975;8354.93339010221;1.35456683770966E-06;0.000581909219842
0.010296411856474;8352.51921343456;1.45096171302142E-06;0.000581860182879
0.010608424336974;8350.11961556644;1.54956416602657E-06;0.000581811430042
0.010920436817473;8347.74315126855;1.65158526394564E-06;0.000581763135416
0.011232449297972;8345.40347945494;1.75876811519453E-06;0.000581715577015
0.011544461778471;8343.11938612921;1.87336455337754E-06;0.000581669137367
0.01185647425897;8340.91329800548;1.99795062027104E-06;0.000581624273392
0.01216848673947;8338.80856156367;2.13511316588923E-06;0.0005815814611
0.012480499219969;8336.82608406508;2.2870742117257E-06;0.000581541127227
0.012792511700468;8334.9810713567;2.45533408265915E-06;0.000581503582739
0.013104524180967;8333.28054560126;2.64040798890152E-06;0.000581468972155
0.013416536661467;8331.72212341786;2.84170795472188E-06;0.000581437248489
0.013728549141966;8330.29424755818;3.05758996112009E-06;0.00058140817781
0.014040561622465;8328.9777668157;3.28555297088947E-06;0.000581381371296
0.014352574102964;8327.74851338321;3.52254921113329E-06;0.000581356337659
0.014664586583463;8326.58037719739;3.76534848327503E-06;0.000581332545744
0.014976599063963;8325.44833962512;4.01089525673801E-06;0.000581309486345
0.015288611544462;8324.33099579653;4.25660499322541E-06;0.000581286723628
0.015600624024961;8323.2122384663;4.50056249650426E-06;0.0005812639295
0.01591263650546;8322.0819584761;4.74160582834609E-06;0.000581240897947
0.01622464898596;8320.93579840969;4.97930003071263E-06;0.000581217540079
0.016536661466459;8319.77414415904;5.21382180810167E-06;0.000581193863646
0.016848673946958;8318.60063285261;5.44578701720906E-06;0.000581169942681
0.017160686427457;8317.42048753282;5.6760563955622E-06;0.00058114588358
0.017472698907956;8316.23896419438;5.90555199745778E-06;0.000581121793465
0.017784711388456;8315.06012957482;6.13510894767734E-06;0.000581097755258
0.018096723868955;8313.88723998528;6.36549767429137E-06;0.000581073835389
0.018408736349454;8312.7251185065;6.59765858537508E-06;0.000581050132282
0.018720748829953;8311.58359800376;6.83304968171556E-06;0.000581026846605
0.019032761310453;8310.48056382998;7.07395083019961E-06;0.00058100434341
0.019344773790952;8309.44327645203;7.3235842253667E-06;0.000580983179199
0.019656786271451;8308.50724328391;7.5859737507837E-06;0.000580964078983
0.01996879875195;8307.71266458026;7.86554704747803E-06;0.000580947863772
0.020280811232449;8307.09915512188;8.16655684014696E-06;0.000580935342791
0.020592823712949;8306.69987365812;8.49244437530015E-06;0.000580927193518
0.020904836193448;8306.53630360026;8.84527980501109E-06;0.000580923854982
0.021216848673947;8306.6147388482;9.22539372414625E-06;0.000580925455887
0.021528861154446;8306.92512139673;9.63126971105578E-06;0.000580931790831
0.021840873634945;8307.44237017298;1.00597123111138E-05;0.00058094234749
0.022152886115445;8308.12985366856;1.05062515368401E-05;0.000580956377643
0.022464898595944;8308.9442898901;1.0965704369796E-05;0.000580972997362
0.022776911076443;8309.84116493239;1.14327925116297E-05;0.000580991297752
0.023088923556942;8310.77976104045;1.19027154979526E-05;0.000581010447637
0.023400936037442;8311.72705132201;1.23715965880703E-05;0.000581029773035
0.023712948517941;8312.65999741945;1.28367496856106E-05;0.000581048803962
0.02402496099844;8313.56611081879;1.32967514733901E-05;0.00058106728579
0.024336973478939;8314.44244211587;1.37513366406722E-05;0.000581085158521
0.024648985959438;8315.29339380107;1.42011597609121E-05;0.000581102512096
0.024960998439938;8316.12788115194;1.46474816668992E-05;0.00058111952844
0.025273010920437;8316.95638658692;1.50918403449044E-05;0.000581136421361
0.025585023400936;8317.78837989823;1.55357580499117E-05;0.000581153383952
0.025897035881435;8318.63056202672;1.59805338439971E-05;0.000581170552796
0.026209048361935;8319.48826168897;1.64273681023695E-05;0.000581188036457
0.026521060842434;8320.3696800652;1.68777858649904E-05;0.000581206002004
0.026833073322933;8321.29115471889;1.73341641670144E-05;0.000581224782263
0.027145085803432;8322.28121386314;1.78001265219676E-05;0.000581244958339
0.027457098283931;8323.38167754682;1.82806203069459E-05;0.000581267381906
0.027769110764431;8324.64505826494;1.87815999066426E-05;0.000581293122025
0.02808112324493;8326.12862369893;1.93093577375992E-05;0.000581323343929
0.028393135725429;8327.88638340634;1.98696418080884E-05;0.000581359145527
0.028705148205928;8329.96074955551;2.04667507282937E-05;0.000581401387381
0.029017160686428;8332.37563959378;2.11027984621283E-05;0.000581450552259
0.029329173166927;8335.13239751351;2.1777298017694E-05;0.000581506662369
0.029641185647426;8338.20925286204;2.24871410096244E-05;0.000581569268917
0.029953198127925;8341.56428976692;2.32269678113829E-05;0.0005816375133
0.030265210608424;8345.14122996631;2.39898492950021E-05;0.000581710245571
0.030577223088924;8348.87687069775;2.47681499775974E-05;0.000581786176383
0.030889235569423;8352.70882708066;2.55544212739499E-05;0.000581864034765
0.031201248049922;8356.58231242018;2.63421829562268E-05;0.000581942705938
0.031513260530421;8360.45499697209;2.71264851988123E-05;0.000582021329712
0.031825273010921;8364.29942799327;2.79041929961878E-05;0.000582099349115
0.03213728549142;8368.10296970864;2.86739879868518E-05;0.000582176508566
0.032449297971919;8371.86563831455;2.94361294142057E-05;0.000582252809383
0.032761310452418;8375.59649730487;3.01920485414881E-05;0.000582328436235
0.033073322932917;8379.30940996633;3.09438655920384E-05;0.000582403670739
0.033385335413417;8383.01892149394;3.16939154197569E-05;0.000582478807892
0.033697347893916;8386.73689354585;3.24443510674573E-05;0.00058255408792
0.034009360374415;8390.47144270146;3.31969907919874E-05;0.0005826296749
0.034321372854914;8394.22991460714;3.39535914015674E-05;0.000582705717061
0.034633385335414;8398.0247777406;3.47164284204677E-05;0.000582782465993
0.034945397815913;8401.87989055065;3.54889121370812E-05;0.000582860403108
0.035257410296412;8405.83449351604;3.62759587451217E-05;0.000582940319834
0.035569422776911;8409.94313825125;3.70839287022891E-05;0.000583023315504
0.03588143525741;8414.27109781512;3.79200876249375E-05;0.000583110703934
0.03619344773791;8418.88612799043;3.87916873767989E-05;0.000583203846482
0.036505460218409;8423.84840756514;3.9704867757089E-05;0.000583303948711
0.036817472698908;8429.20088566014;4.06636216732232E-05;0.000583411865808
0.037129485179407;8434.96208804484;4.166904668976E-05;0.000583527958231
0.037441497659906;8441.12280215647;4.27190360683219E-05;0.000583652026173
