t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0;13332;0;0.00295052435238;0.555214533889253;0.000745162086364;5.39572353588432E-07;-7.24168472208534E-10
0.003311258278146;13332.555959696;5.38848185116223E-07;0.002950710212612;2.2144665242939;0.002828995127991;2.15207787535037E-06;-2.74929323052846E-09
0.006622516556291;13334.2172955194;2.14932858211984E-06;0.002951265640742;4.95937716379844;0.005960056267995;4.8196555480255E-06;-5.7921423019864E-09
0.009933774834437;13336.9653372201;4.81386340572351E-06;0.002952184497883;8.75946622144786;0.009761238004083;8.51268386685958E-06;-9.48623251463149E-09
0.013245033112583;13340.7692274595;8.50319763434495E-06;0.002953456632961;13.5725239641089;0.013800003602142;1.31901422827496E-05;-1.34112130879462E-08
0.016556291390729;13345.5863239677;1.31767310696616E-05;0.002955068007867;19.34512628596;0.017756350289234;1.88001118188719E-05;-1.7256096755737E-08
0.019867549668874;13351.3628826362;1.87828557221161E-05;0.002957000913512;26.0132838676541;0.021319599125979;2.52804059409462E-05;-2.0718957404297E-08
0.02317880794702;13358.0346034668;2.52596869835419E-05;0.002959234137557;33.5032152503478;0.024212931001255;3.25593218512817E-05;-2.35307748092865E-08
0.026490066225166;13365.5274281814;3.25357910764724E-05;0.002961743214564;41.7322311367064;0.02617986988086;4.0556499876172E-05;-2.54422986900546E-08
0.029801324503311;13373.7584110066;4.05310575774819E-05;0.002964500699651;50.609716387785;0.027069280792393;4.918387779677E-05;-2.63066520343684E-08
0.033112582781457;13382.6367856686;4.91575711447356E-05;0.002967476507731;60.0381945704658;0.026859523078208;5.83467254047911E-05;-2.61028038694816E-08
0.036423841059603;13392.0650540935;5.83206226009217E-05;0.002970638260765;69.9144596874207;0.025691983472399;6.7944744348009E-05;-2.4968157612577E-08
0.039735099337748;13401.9401516709;6.79197761903964E-05;0.002973951662206;80.1307591465911;0.023862617285943;7.78732177716676E-05;-2.31903305589404E-08
0.043046357615894;13412.1546217639;7.78500274411087E-05;0.002977380876769;90.5760123811144;0.021830738814778;8.80241946059715E-05;-2.1215696643447E-08
0.04635761589404;13422.5978431199;8.8002978909328E-05;0.002980888930809;101.137049632949;0.020215097646194;9.8287693449184E-05;-1.96455732863986E-08
0.049668874172186;13433.1572647306;9.82680478758976E-05;0.002984438118512;111.69985613682;0.019795658937802;0.000108552911699;-1.92379515165917E-08
0.052980132450331;13443.7196517958;0.000108533673747;0.002987990415499;122.15080754896;0.021498623031725;0.000118709426175;-2.08929376305103E-08
0.056291390728477;13454.172306172;0.000118688533237;0.002991507887689;132.377883489207;0.026376985046525;0.000128648372471;-2.5633860486926E-08
0.059602649006623;13464.4042604743;0.000128622738611;0.002994953095153;142.271846979505;0.035579593510917;0.000138263591168;-3.45772018541635E-08
0.062913907284768;13474.307426573;0.000138229013966;0.002998289484317;151.72737868131;0.050317784823292;0.00014745273011;-4.89001708846472E-08
0.066225165562914;13483.7776964661;0.000147403829939;0.003001481767533;160.644155830258;0.071825027865927;0.00015611829295;-6.9801485672456E-08
0.06953642384106;13492.7159808581;0.000156048491464;0.00300449628464;168.92786686058;0.101313879335351;0.00016416862518;-9.84595412896629E-08
0.072847682119205;13501.0291807399;0.000164070165639;0.003007301344379;176.491153695288;0.139928096566422;0.000171518829883;-1.35985871746786E-07
0.076158940397351;13508.6310817919;0.000171382844012;0.003009867541601;183.254474693241;0.18869418521588;0.000178091606362;-1.83378062732509E-07
0.079470198675497;13515.4431688785;0.000177908228299;0.003012168048658;189.146882148508;0.248472749854898;0.000183818005735;-2.41472472816716E-07
0.082781456953642;13521.3953548984;0.000183576533262;0.003014178878315;194.106709134111;0.319913458576167;0.000188638098432;-3.10900466850839E-07
0.086092715231788;13526.4266225927;0.000188327197965;0.003015879116997;198.082161283746;0.403414515801956;0.0001925015493;-3.92049030558482E-07
0.089403973509934;13530.4855757996;0.00019210950027;0.003017251126501;201.031809890762;0.499089660829526;0.000195368096813;-4.85028698833599E-07
0.09271523178808;13533.5308995516;0.000194883068114;0.003018280713307;202.924983416509;0.606743811990498;0.000197207933548;-5.89649886085557E-07
