t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.062913907284768;13349.576903259;1.69576752624783E-05;0.002956403235956;19.2817506119991;0.13272621568283;1.88555767959583E-05;-1.29792641913478E-07
0.066225165562914;13351.4144768277;1.87257841540448E-05;0.002957018180393;21.1849544249164;0.148484479526623;2.07167151528916E-05;-1.45202609610285E-07
0.06953642384106;13353.3334389044;2.05715125432813E-05;0.002957660429774;23.1666402921859;0.165264636041291;2.26546009189545E-05;-1.61611883652809E-07
0.072847682119205;13355.3319049282;2.24929890353017E-05;0.002958329362131;25.224832121681;0.183080074324828;2.46673016784853E-05;-1.79033557206557E-07
0.076158940397351;13357.407912196;2.44882681212788E-05;0.002959024329416;27.3574789932976;0.201943147743478;2.67528118417281E-05;-1.97479710598901E-07
0.079470198675497;13359.559422141;2.65553321311292E-05;0.002959744658216;29.5624573703321;0.221865228067639;2.8909054807329E-05;-2.16961464254928E-07
0.082781456953642;13361.7843225984;2.8692093343074E-05;0.002960489650474;31.8375733822591;0.242856799079602;3.11338851946648E-05;-2.37489070241209E-07
0.086092715231788;13364.0804301813;3.08963961244236E-05;0.002961258584234;34.1805651752369;0.264927491807313;3.34250911423916E-05;-2.59071946715721E-07
0.089403973509934;13366.445492667;3.31660191956758E-05;0.002962050714398;36.5891053276434;0.288086160078215;3.57803966705932E-05;-2.81718751814416E-07
0.09271523178808;13368.8771914877;3.54986779187788E-05;0.002962865273515;39.0608033270807;0.312340941010326;3.81974641030389E-05;-3.05437442805348E-07
0.096026490066225;13371.3731442681;3.78920266602335E-05;0.002963701472587;41.5932081057524;0.337699339077769;4.06738965465217E-05;-3.30235358295944E-07
0.099337748344371;13373.9309074448;4.03436611882258E-05;0.002964558501902;44.1838106306569;0.364168294263319;4.32072404238015E-05;-3.56119284877933E-07
0.102649006622517;13376.5479789249;4.28511211389236E-05;0.002965435531881;46.83004654534;0.391754257370309;4.57949880569692E-05;-3.83095530776062E-07
0.105960264900662;13379.2218008027;4.54118925261931E-05;0.002966331713949;49.5292988597285;0.420463256723398;4.84345802978285E-05;-4.11169991074152E-07
