t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.012110726643599;10047.3680855369;5.23418059474782E-06;0.000535236693902;-50.5125291766892;-60.8729568500601;-7.66295539799127E-06;9.23467426574881E-06
0.012456747404844;10044.7734874576;5.34050962828384E-06;0.000535124513645;-51.422224269984;-62.5181807092498;-7.80095983054114E-06;9.48426139310451E-06
0.01280276816609;10042.2185685051;5.45209232308966E-06;0.000535014032133;-52.279061578881;-64.1607002170847;-7.93094552297093E-06;9.73343825939924E-06
0.013148788927336;10039.7192116883;5.5712834969546E-06;0.000534905937115;-53.0655402682977;-65.8003200560989;-8.05025752766969E-06;9.98217523418191E-06
0.013494809688581;10037.2931131599;5.70070846703851E-06;0.000534800995163;-53.7639772949305;-67.436853553957;-8.15621325530055E-06;1.02304439985025E-05
0.013840830449827;10034.9581426354;5.84302150372824E-06;0.000534699980761;-54.3587238306705;-69.0701548059946;-8.24643871521653E-06;1.04782224180322E-05
0.014186851211073;10032.7300948476;6.00057446334197E-06;0.000534603578982;-54.8385362053886;-70.7001540708898;-8.31922819708959E-06;1.07254999127298E-05
0.014532871972318;10030.620283208;6.17506247616647E-06;0.000534512281248;-55.1985764771383;-72.3268900485288;-8.37384776551873E-06;1.09722823535248E-05
0.014878892733564;10028.6335069586;6.36722534853235E-06;0.000534426297188;-55.4415798723543;-73.9505329279096;-8.41071236543986E-06;1.12185955587781E-05
0.01522491349481;10026.766860684;6.57667395386455E-06;0.000534345502917;-55.5779049668355;-75.5713936613691;-8.43139343478372E-06;1.14644867012195E-05
0.015570934256055;10025.0096748561;6.80188402696202E-06;0.000534269438272;-55.6244249064317;-77.1899172761199;-8.43845069816081E-06;1.17100232932806E-05
0.015916955017301;10023.3446313018;7.04036335564602E-06;0.000534197354954;-55.6024605366546;-78.8066605589393;-8.4351186142464E-06;1.19552898017722E-05
0.016262975778547;10021.7498523887;7.28896194805207E-06;0.000534128306876;-55.5351417804395;-80.422256599346;-8.42490608609276E-06;1.220038226894E-05
0.016608996539792;10020.2015751045;7.54426694337357E-06;0.000534061265906;-55.4446743713366;-82.0373701069343;-8.41118181347708E-06;1.24454015339238E-05
0.016955017301038;10018.676929006;7.80301048097297E-06;0.000533995242164;-55.3499736848051;-83.652648036813;-8.39681533551851E-06;1.26904457424354E-05
0.017301038062284;10017.1563517627;8.06242116744316E-06;0.000533929388679;-55.2650199673781;-85.2686699861978;-8.38392751227648E-06;1.29356028217215E-05
0.01764705882353;10015.6252835307;8.32046606997129E-06;0.000533863074851;-55.1981226539663;-86.8859023124916;-8.37377891870432E-06;1.31809435200903E-05
0.017993079584775;10014.0749485178;8.57595536191222E-06;0.000533795920405;-55.1520973768453;-88.5046592328857;-8.36679669762953E-06;1.3426515505563E-05
0.018339100346021;10012.5022168746;8.82850956845977E-06;0.000533727789517;-55.1251975683545;-90.1250734918311;-8.36271588765941E-06;1.3672338916011E-05
0.018685121107267;10010.9087024241;9.07841378887787E-06;0.000533658751837;-55.112354300721;-91.7470764520355;-8.36076751190701E-06;1.39184033388788E-05
0.019031141868512;10009.2995427316;9.32642658749809E-06;0.000533589029719;-55.1061148643119;-93.3703855597242;-8.35982096411595E-06;1.41646659096136E-05
0.019377162629758;10007.6824730603;9.57363570602399E-06;0.000533518958172;-55.0968154434752;-94.9944981066735;-8.35841020428544E-06;1.44110503653406E-05
0.019723183391004;10006.0676599342;9.82143092158143E-06;0.000533448977701;-55.0719107266106;-96.6186932541039;-8.35463205780094E-06;1.46574473518953E-05
0.020069204152249;10004.4683695036;1.00716060546207E-05;0.000533379663322;-55.0148242283857;-98.2420473300745;-8.34597180465475E-06;1.49037167445008E-05
0.020415224913495;10002.9021019258;1.03265357003723E-05;0.000533311773803;-54.9039835771704;-99.8634685142084;-8.32915682864006E-06;1.51496929095809E-05
0.020761245674741;10001.3915213929;1.05893268414671E-05;0.000533246292049;-54.7127476642688;-101.481755217949;-8.30014556559418E-06;1.53951935612815E-05
0.021107266435986;9999.96447060209;1.08638387562136E-05;0.000533184425813;-54.4107080549856;-103.095678039443;-8.25432493273166E-06;1.5640032194359E-05
0.021453287197232;9998.65258738988;1.11544980221537E-05;0.000533127547757;-53.9664408574531;-104.704079402382;-8.18692779829838E-06;1.58840331997958E-05
0.021799307958478;9997.48845322447;1.14658961620237E-05;0.000533077071807;-53.3513354969354;-106.305979617472;-8.0936138221515E-06;1.61270479547556E-05
0.022145328719723;9996.5016583699;1.18022248931304E-05;0.000533034282419;-52.5437736281459;-107.900674736804;-7.97110341369413E-06;1.63689696674872E-05
0.022491349480969;9995.71452511936;1.21666570143194E-05;0.000533000148958;-51.5327743287448;-109.487811210422;-7.81773072250274E-06;1.66097447030298E-05
0.022837370242215;9995.13838794514;1.25608047410533E-05;0.000532975164178;-50.3202963844673;-111.067425174274;-7.6337929043122E-06;1.68493785433529E-05
0.02318339100346;9994.77125192556;1.2984376399567E-05;0.000532959242502;-48.9216646949008;-112.63993955274;-7.42161480850008E-06;1.70879353477992E-05
0.023529411764706;9994.59736923667;1.34351112998254E-05;0.000532951701568;-47.3639855560591;-114.206118804552;-7.18530857003052E-06;1.73255310878563E-05
0.023875432525952;9994.58886912369;1.3909013278352E-05;0.000532951332934;-45.6828313607711;-115.76698760129;-6.93027066506693E-06;1.7562321210356E-05
0.024221453287197;9994.70915452224;1.44008413058153E-05;0.000532956549475;-43.9178107190662;-117.323724685995;-6.66250988028001E-06;1.77984845353948E-05
0.024567474048443;9994.91743807925;1.49047654156411E-05;0.000532965582234;-42.1078251433306;-118.877545773004;-6.3879277327627E-06;1.80342054917651E-05
