t [s];P [Pa];Q [m^3/s];A [m^2]
0;13332;0;0.00295052435238
0.003311258278146;13332.0500914675;4.85497357818344E-08;0.00295054109798
0.006622516556291;13332.2002597759;1.94098374486185E-07;0.002950591299596
0.009933774834437;13332.450394752;4.36462185588482E-07;0.00295067492125
0.013245033112583;13332.8003107589;7.75335766820679E-07;0.002950791902302
0.016556291390729;13333.2497089164;1.21032920009686E-06;0.002950942144812
0.019867549668874;13333.7981781858;1.74096775523359E-06;0.002951125513898
0.02317880794702;13334.4451990445;2.36668929861915E-06;0.002951341838944
0.026490066225166;13335.1901580728;3.08683134092535E-06;0.002951590918472
0.029801324503311;13336.0323463302;3.90063400950723E-06;0.002951872519572
0.033112582781457;13336.9709588835;4.8072421144839E-06;0.002952186377734
0.036423841059603;13338.0050906501;5.80571099212044E-06;0.002952532195426
0.039735099337748;13339.1337390902;6.89500591679687E-06;0.002952909642976
0.043046357615894;13340.3558058156;8.07400276393115E-06;0.002953318359081
0.04635761589404;13341.6700996929;9.34148742452633E-06;0.002953757951812
0.049668874172186;13343.0753373417;1.06961579375667E-05;0.002954227998753
0.052980132450331;13344.5701444967;1.21366259774517E-05;0.002954728047421
0.056291390728477;13346.1530569365;1.36614189455156E-05;0.002955257615541
0.059602649006623;13347.8225225779;1.52689811165239E-05;0.00295581619171
0.062913907284768;13349.576903259;1.69576752624783E-05;0.002956403235956
0.066225165562914;13351.4144768277;1.87257841540448E-05;0.002957018180393
0.06953642384106;13353.3334389044;2.05715125432813E-05;0.002957660429774
0.072847682119205;13355.3319049282;2.24929890353017E-05;0.002958329362131
0.076158940397351;13357.407912196;2.44882681212788E-05;0.002959024329416
0.079470198675497;13359.559422141;2.65553321311292E-05;0.002959744658216
0.082781456953642;13361.7843225984;2.8692093343074E-05;0.002960489650474
0.086092715231788;13364.0804301813;3.08963961244236E-05;0.002961258584234
0.089403973509934;13366.445492667;3.31660191956758E-05;0.002962050714398
0.09271523178808;13368.8771914877;3.54986779187788E-05;0.002962865273515
0.096026490066225;13371.3731442681;3.78920266602335E-05;0.002963701472587
0.099337748344371;13373.9309074448;4.03436611882258E-05;0.002964558501902
0.102649006622517;13376.5479789249;4.28511211389236E-05;0.002965435531881
0.105960264900662;13379.2218008027;4.54118925261931E-05;0.002966331713949
0.109271523178808;13381.9497621165;4.80234103067544E-05;0.002967246181411
0.112582781456954;13384.7292016559;5.06830609829781E-05;0.002968178050359
0.115894039735099;13387.5574108072;5.338818524963E-05;0.002969126420582
0.119205298013245;13390.4316364386;5.61360806757268E-05;0.002970090376498
0.122516556291391;13393.3490838149;5.89240044240577E-05;0.002971068988095
0.125827814569536;13396.3069195441;6.17491760017181E-05;0.002972061311884
0.129139072847682;13399.3022745471;6.46087800408586E-05;0.002973066391861
0.132450331125828;13402.3322470505;6.74999691046568E-05;0.002974083260484
0.135761589403974;13405.3939055977;7.04198665169236E-05;0.002975110939651
0.139072847682119;13408.4842920737;7.33655692117065E-05;0.002976148441693
0.142384105960265;13411.6004247416;7.63341506006184E-05;0.002977194770363
0.145695364238411;13414.7393012851;7.93226634546224E-05;0.00297824892184
0.149006622516556;13417.897901856;8.23281427976163E-05;0.002979309885733
0.152317880794702;13421.0731921211;8.53476088088462E-05;0.002980376646086
0.155629139072848;13424.2621263068;8.83780697315262E-05;0.002981448182385
0.158940397350993;13427.4616502363;9.14165247848502E-05;0.002982523470569
0.162251655629139;13430.6687043583;9.44599670767522E-05;0.002983601484038
0.165562913907285;13433.8802267617;9.75053865147288E-05;0.00298468119466
0.16887417218543;13437.0931561757;0.000100549772712;0.002985761573775
0.172185430463576;13440.3044349495;0.000103590117887;0.002986841593194
0.175496688741722;13443.5110120117;0.000106623419752;0.002987920226201
0.178807947019868;13446.7098458038;0.00010964668439;0.002988996448538
0.182119205298013;13449.8979071872;0.000112656929119;0.002990069239393
0.185430463576159;13453.07218232;0.000115651185336;0.002991137582378
0.188741721854305;13456.2296755009;0.00011862650134;0.002992200466494
0.19205298013245;13459.3674119789;0.000121579945141;0.002993256887098
0.195364238410596;13462.4824407248;0.000124508607235;0.002994305846845
0.198675496688742;13465.571837164;0.000127409603359;0.002995346356634
0.201986754966887;13468.6327058675;0.000130280077211;0.00299637743653
0.205298013245033;13471.6621831986;0.000133117203149;0.002997398116685
0.208609271523179;13474.6574399152;0.000135918188843;0.002998407438237
0.211920529801324;13477.6156837233;0.000138680277905;0.002999404454197
0.21523178807947;13480.5341617825;0.00014140075247;0.003000388230327
0.218543046357616;13483.4101631601;0.000144076935744;0.003001357845994
0.221854304635762;13486.241021233;0.000146706194508;0.003002312395017
0.225165562913907;13489.0241160363;0.000149285941581;0.003003250986489
0.228476821192053;13491.7568765559;0.000151813638228;0.003004172745589
0.231788079470199;13494.4367829657;0.000154286796531;0.003005076814372
0.235099337748344;13497.0613688068;0.000156702981705;0.003005962352545
0.23841059602649;13499.6282231081;0.000159059814361;0.003006828538215
0.241721854304636;13502.1349924474;0.000161354972719;0.003007674568632
0.245033112582781;13504.5793829523;0.00016358619476;0.003008499660899
0.248344370860927;13506.9591622392;0.000165751280328;0.003009303052671
0.251655629139073;13509.2721612904;0.000167848093168;0.003010084002827
0.254966887417219;13511.5162762687;0.000169874562901;0.003010841792127
0.258278145695364;13513.6894702682;0.000171828686945;0.00301157572384
0.26158940397351;13515.7897750009;0.000173708532364;0.003012285124361
0.264900662251656;13517.8152924196;0.000175512237653;0.003012969343796
0.268211920529801;13519.7641962747;0.000177238014461;0.003013627756528
0.271523178807947;13521.6347336067;0.000178884149238;0.003014259761765
0.274834437086093;13523.425226172;0.000180449004815;0.003014864784057
0.278145695364238;13525.1340718033;0.000181931021917;0.003015442273797
0.281456953642384;13526.7597457034;0.000183328720593;0.003015991707694
0.28476821192053;13528.3008016723;0.000184640701584;0.003016512589225
0.288079470198676;13529.755873268;0.000185865647606;0.003017004449062
0.291390728476821;13531.1236748997;0.00018700232456;0.003017466845477
0.294701986754967;13532.4030028545;0.000188049582671;0.003017899364716
0.298013245033113;13533.5927362564;0.000189006357533;0.003018301621362
0.301324503311258;13534.6918379583;0.000189871671091;0.003018673258658
0.304635761589404;13535.6993553663;0.000190644632536;0.003019013948818
0.30794701986755;13536.6144211969;0.000191324439112;0.003019323393307
0.311258278145695;13537.4362541662;0.000191910376857;0.003019601323094
0.314569536423841;13538.1641596115;0.000192401821243;0.003019847498889
0.317880794701987;13538.7975300458;0.000192798237749;0.003020061711344
0.321192052980132;13539.3358456439;0.000193099182341;0.00302024378124
0.324503311258278;13539.7786746611;0.00019330430187;0.003020393559637
0.327814569536424;13540.1256738769;0.000193413334295;0.003020510928043
0.33112582781457;13540.3765902211;0.000193426107632;0.003020595798968
0.334437086092715;13540.5312703801;0.000193342531099;0.003020648119183
0.337748344370861;13540.5897029319;0.000193162554962;0.00302066788398
0.341059602649007;13540.552152215;0.000192886042372;0.003020655182451
0.344370860927152;13540.4194774374;0.000192512463591;0.003020610305426
0.347682119205298;13540.193710421;0.000192040342254;0.003020533940872
0.350993377483444;13539.878828598;0.000191466514224;0.003020427435295
0.354304635761589;13539.4814195484;0.00019078548981;0.003020293018403
0.357615894039735;13539.0107442284;0.000189989391357;0.003020133824303
0.360927152317881;13538.4777971015;0.000189068851267;0.003019953573394
0.364238410596026;13537.8934240421;0.000188014812592;0.003019755935627
0.367549668874172;13537.2661715756;0.000186820587604;0.003019543803035
0.370860927152318;13536.6008585416;0.000185483225319;0.003019318806757
0.374172185430464;13535.8985682572;0.000184003519011;0.003019081314568
0.377483443708609;13535.1579853565;0.000182384725443;0.003018830883155
0.380794701986755;13534.3772705781;0.000180630767715;0.003018566892214
0.384105960264901;13533.5554844612;0.000178744869017;0.003018289025879
0.387417218543046;13532.6930153245;0.00017672913971;0.003017997417358
