t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0;8448.55675445759;-2.43748716967954E-07;0.000583801632343;-1.81404166037561;-1.73986872326617;-1.68666655625115E-07;1.61770176060501E-07
0.000312012480499;8445.00284407395;-2.50645196532568E-07;0.000583730124949;-3.62502716357991;-3.47678332147191;-3.37049154706055E-07;3.23265682357249E-07
0.000624024960998;8441.45494397254;-2.57532189316761E-07;0.000583658712835;-5.43296309785573;-5.21074908393867;-5.0514810980699E-07;4.84487010682807E-07
0.000936037441498;8437.9130422758;-2.64409816092137E-07;0.000583587395873;-7.23785588189512;-6.94177105910912;-6.7296411772752E-07;6.45434630433208E-07
0.001248049921997;8434.37712751659;-2.71278204262266E-07;0.000583516173942;-9.03971178084895;-8.66985402971557;-8.40497760991252E-07;8.06108986299183E-07
0.001560062402496;8430.84718864703;-2.78137491660024E-07;0.000583445046929;-10.8385369263729;-10.3950024903219;-1.00774960970956E-06;9.66510496177967E-07
0.001872074882995;8427.3232150409;-2.84987830499552E-07;0.000583374014729;-12.633465599095;-12.1172758321799;-1.17463917069734E-06;1.12664468217195E-06
0.002184087363495;8423.80601302632;-2.91743205493342E-07;0.000583303093715;-14.4211247081961;-13.8368925948113;-1.34085281943312E-06;1.28653186373192E-06
0.002496099843994;8420.29873715458;-2.98069672669158E-07;0.000583232347655;-16.1938848976156;-15.5543427966345;-1.5056811907467E-06;1.44621760197687E-06
0.002808112324493;8416.80852676334;-3.03212305737788E-07;0.00058316192083;-17.9387637997536;-17.2704593362666;-1.66791720512439E-06;1.60577933847123E-06
0.003120124804992;8413.34753132157;-3.05886583621109E-07;0.000583092058872;-19.6375383503426;-18.9864122133033;-1.82586651156396E-06;1.76532585788253E-06
0.003432137285491;8409.93280389395;-3.04289370649394E-07;0.000583023106791;-21.2682407486978;-20.7036135385437;-1.97748657953608E-06;1.92498845598587E-06
0.003744149765991;8406.58490017035;-2.96246840518168E-07;0.000582955480826;-22.8078078600498;-22.4235473712583;-2.12063303612211E-06;2.08490511820874E-06
0.00405616224649;8403.32539922628;-2.79476634881316E-07;0.000582889618444;-24.2353453145509;-24.1475586462209;-2.25336315665325E-06;2.24520089440806E-06
0.004368174726989;8400.17385049682;-2.51910979213147E-07;0.000582825916618;-25.5353229325869;-25.8766453080931;-2.37423297018124E-06;2.40596857186236E-06
0.004680187207488;8397.14478621691;-2.12013115286834E-07;0.000582764671308;-26.7000509999018;-27.6112961495016;-2.4825274995285E-06;2.56725359771841E-06
0.004992199687988;8394.24540730819;-1.5902261877804E-07;0.000582706030453;-27.7309660797962;-29.3514055695726;-2.57838031402408E-06;2.72904615337797E-06
0.005304212168487;8391.47438280822;-9.30828776140638E-08;0.000582649969432;-28.6385209430289;-31.0962792945513;-2.66276329536425E-06;2.89128168639177E-06
0.005616224648986;8388.82195422001;-1.52303259404358E-08;0.000582596292928;-29.4407567355697;-32.8447265630789;-2.73735388008249E-06;3.05384948169719E-06
0.005928237129485;8386.27127115894;7.2746884646745E-08;0.000582544661744;-30.1608747250537;-34.5952185548433;-2.80430928446752E-06;3.21660739205756E-06
0.006240249609984;8383.8006611777;1.68549390622089E-07;0.000582494638616;-30.824276781244;-36.3460829053006;-2.86599133322995E-06;3.37939992372612E-06
0.006552262090484;8381.38639477105;2.69659873528215E-07;0.000582445744125;-31.455589555509;-38.0957013089543;-2.92468977252967E-06;3.54207660927882E-06
0.006864274570983;8379.00546359313;3.73638119781201E-07;0.000582397512964;-32.0761326422486;-39.8426810859385;-2.98238686372545E-06;3.70450795959719E-06
0.007176287051482;8376.6379407294;4.78372378903792E-07;0.000582349541809;-32.7021603153007;-41.5859804332685;-3.0405939028739E-06;3.86659710952699E-06
0.007488299531981;8374.26861370902;5.8225448968513E-07;0.000582301522501;-33.3440351732832;-43.3249783766253;-3.1002743876117E-06;4.0282863218818E-06
0.007800312012481;8371.88774090768;6.8426321730214E-07;0.000582253257502;-34.0063178025922;-45.0594915052824;-3.16185235387571E-06;4.18955854342924E-06
0.00811232449298;8369.49094514972;7.83957472585574E-07;0.000582204657868;-34.6886114645733;-46.7897481592534;-3.22529091354843E-06;4.350435004854E-06
0.008424336973479;8367.07839483377;8.81395374337615E-07;0.000582155726772;-35.3869061777499;-48.5163354217544;-3.2902172250466E-06;4.51097029220273E-06
0.008736349453978;8364.65351285809;9.77004350188177E-07;0.000582106533421;-36.0951308057595;-50.2401346500916;-3.35606680394378E-06;4.67124635265027E-06
0.009048361934477;8362.22148900174;1.07143083173853E-06;0.000582057182945;-36.8066410700569;-51.962257938995;-3.42222187598173E-06;4.83136658696358E-06
0.009360374414977;8359.78785544854;1.16539599401389E-06;0.000582007787532;-37.515432690195;-53.6839921955022;-3.48812417288876E-06;4.99145064967474E-06
0.009672386895476;8357.35732957189;1.25957775981803E-06;0.000581958442933;-38.2165897100481;-55.4067746453343;-3.55331661702602E-06;5.15163217170364E-06
0.009984399375975;8354.93339010221;1.35456683770966E-06;0.000581909219842;-38.9053055208217;-57.1322355022118;-3.6173522976924E-06;5.31206272768177E-06
0.010296411856474;8352.51921343456;1.45096171302142E-06;0.000581860182879;-39.5748604748115;-58.8622784163362;-3.67960643292723E-06;5.47291931592175E-06
0.010608424336974;8350.11961556644;1.54956416602657E-06;0.000581811430042;-40.2144645586053;-60.5991386304337;-3.73907578475862E-06;5.63440976567221E-06
0.010920436817473;8347.74315126855;1.65158526394564E-06;0.000581763135416;-40.8079145854573;-62.3453604171972;-3.79425380712497E-06;5.79677063928746E-06
0.011232449297972;8345.40347945494;1.75876811519453E-06;0.000581715577015;-41.3337081062137;-64.1036602221638;-3.84314123712862E-06;5.96025450747412E-06
0.011544461778471;8343.11938612921;1.87336455337754E-06;0.000581669137367;-41.7667788564938;-65.8766775956194;-3.88340745410386E-06;6.12510679134286E-06
0.01185647425897;8340.91329800548;1.99795062027104E-06;0.000581624273392;-42.081542566676;-67.6666503272436;-3.91267367409663E-06;6.29153555695381E-06
0.01216848673947;8338.80856156367;2.13511316588923E-06;0.0005815814611;-42.2555964762072;-69.475073916306;-3.92885692471337E-06;6.45967985340702E-06
0.012480499219969;8336.82608406508;2.2870742117257E-06;0.000581541127227;-42.2732695232114;-71.3024135776834;-3.9305001360012E-06;6.6295829356283E-06
0.012792511700468;8334.9810713567;2.45533408265915E-06;0.000581503582739;-42.1282800348698;-73.1479288214588;-3.91701924819495E-06;6.80117595406442E-06
0.013104524180967;8333.28054560126;2.64040798890152E-06;0.000581468972155;-41.8249815965253;-75.0096494432065;-3.88881905060892E-06;6.97427572229876E-06
0.013416536661467;8331.72212341786;2.84170795472188E-06;0.000581437248489;-41.3779936993853;-76.8845132000313;-3.8472588398584E-06;7.14859751794644E-06
0.013728549141966;8330.29424755818;3.05758996112009E-06;0.00058140817781;-40.8103415098987;-78.7686461319943;-3.79447945862896E-06;7.32378114648639E-06
0.014040561622465;8328.9777668157;3.28555297088947E-06;0.000581381371296;-40.1504986175507;-80.6577424568339;-3.73312833515626E-06;7.4994262632575E-06
0.014352574102964;8327.74851338321;3.52254921113329E-06;0.000581356337659;-39.4288907511505;-82.5474865090549;-3.66603440442857E-06;7.67513160467156E-06
0.014664586583463;8326.58037719739;3.76534848327503E-06;0.000581332545744;-38.6744586307864;-84.4339562016889;-3.59588852772822E-06;7.85053250143418E-06
0.014976599063963;8325.44833962512;4.01089525673801E-06;0.000581309486345;-37.9118032895623;-86.3139553714953;-3.52497806927035E-06;8.02533177946371E-06
0.015288611544462;8324.33099579653;4.25660499322541E-06;0.000581286723628;-37.1592774983175;-88.1852384929779;-3.45500943996413E-06;8.19932065343634E-06
0.015600624024961;8323.2122384663;4.50056249650426E-06;0.0005812639295;-36.4281842684907;-90.0466117130033;-3.38703357550714E-06;8.37238812082118E-06
0.01591263650546;8322.0819584761;4.74160582834609E-06;0.000581240897947;-35.7230413360349;-91.8979147118706;-3.32147052767152E-06;8.5445192753521E-06
0.01622464898596;8320.93579840969;4.97930003071263E-06;0.000581217540079;-35.0427055098777;-93.739904788675;-3.25821400440286E-06;8.71578452947249E-06
0.016536661466459;8319.77414415904;5.21382180810167E-06;0.000581193863646;-34.3820463983909;-95.5740752065878;-3.19678699019659E-06;8.8863227243736E-06
0.016848673946958;8318.60063285261;5.44578701720906E-06;0.000581169942681;-33.7338237832286;-97.4024431415451;-3.13651630127681E-06;9.05632141380697E-06
0.017160686427457;8317.42048753282;5.6760563955622E-06;0.00058114588358;-33.0904512331837;-99.2273390300286;-3.07669656355667E-06;9.22599727798241E-06
0.017472698907956;8316.23896419438;5.90555199745778E-06;0.000581121793465;-32.4454044173055;-101.051220465462;-3.01672115531097E-06;9.39557881995626E-06
0.017784711388456;8315.06012957482;6.13510894767734E-06;0.000581097755258;-31.7929121305036;-102.876602341813;-2.95605347923715E-06;9.56529987049647E-06
0.018096723868955;8313.88723998528;6.36549767429137E-06;0.000581073835389;-31.1255056993756;-104.706130251713;-2.8939991101783E-06;9.73540641252133E-06
